year,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Decile 10
1982,0.665717186721,0.667095532822,0.661196758929,0.651724493811,0.650206396036,0.63779270837,0.616820326192,0.597515186112,0.62547566544,0.643401315275
1983,-0.0727763176756,-0.0705555028754,-0.076185227794,-0.0987105617091,-0.130632150247,-0.148017082203,-0.180434632623,-0.241519674314,-0.281175978582,-0.364629170923
1984,0.291898949333,0.295273535033,0.299059101878,0.302422782237,0.305562845199,0.308851624092,0.308125236516,0.333503494895,0.323450952623,0.311778936502
1985,0.340765983113,0.342478350524,0.346201121686,0.355903415415,0.364649856851,0.378881988379,0.397645378132,0.395782353266,0.425578422795,0.483528965285
1986,0.196438710845,0.196918384534,0.193366566488,0.188065581016,0.18069112179,0.169370934415,0.177047014582,0.196781098494,0.188343246557,0.101746324574
1987,-0.0623007599497,-0.0606233494863,-0.0594505032908,-0.0599462667779,-0.0583520950954,-0.0629721732224,-0.0721361860266,-0.06486764357,-0.0722171196115,-0.0732824362939
1988,0.18219829134,0.182838946298,0.184225833491,0.18892164645,0.199766580291,0.202865616683,0.193593871819,0.179478215168,0.185798272572,0.175794433001
1989,0.127387608033,0.128120575112,0.131687155918,0.136701775381,0.143376509118,0.153154966011,0.167546101366,0.186492002709,0.209968800658,0.148595107362
1990,0.0671722303815,0.0687715527306,0.0706518095338,0.0739052595598,0.0774196697084,0.0784460589451,0.0825332471886,0.0921101366134,0.0860846962955,0.0578854832895
1991,0.143260547396,0.142563195074,0.142592732526,0.144860022065,0.148380157892,0.15689343103,0.16263438336,0.179075715289,0.191349819799,0.250378917085
1992,0.15457516795,0.154582882649,0.152846421305,0.1496941878,0.169194483778,0.158548808299,0.14721415325,0.205745264696,0.240795442043,0.343971391031
1993,0.0151857450192,0.0139430086818,0.0133925036754,0.0080559924804,0.0106695258114,0.0107831192736,0.0190054335749,0.0229618387694,0.0317973915794,0.0348124787951
1994,0.233237179492,0.232412155432,0.233679895901,0.234978785282,0.241810387468,0.241079640235,0.245860560093,0.254383886495,0.261056721484,0.308021708421
1995,0.251807651685,0.253290069609,0.254491541864,0.256943647607,0.260772247834,0.270770882327,0.277017778175,0.28383372879,0.286236674596,0.267853627988
1996,0.290241735121,0.292625058288,0.297596452871,0.30506930581,0.306576509073,0.314878757751,0.31412229615,0.278082958675,0.168606461383,0.0259597391063
1997,0.276373874901,0.277784267434,0.280355928597,0.28450143823,0.283875358582,0.299776457721,0.30486364441,0.305228488005,0.344107628661,0.366179316793
1998,0.168429264496,0.169086659193,0.166295071834,0.171313840265,0.170190627023,0.171485342051,0.203945321527,0.22020476898,0.279428981157,0.354867355686
1999,0.111528583908,0.110731087432,0.111691589974,0.115941838372,0.122643032446,0.14214479353,0.156221783611,0.19644977609,0.243335478986,0.396551137925
2000,-0.147143643753,-0.14669256177,-0.148643178882,-0.160910463118,-0.187090687392,-0.213554796441,-0.245873777375,-0.302420641139,-0.401867005399,-0.535861287054
2001,-0.16454483149,-0.156375666228,-0.133708018654,-0.117584080134,-0.102150172758,-0.0543034266329,-0.0240268253691,0.00734888903219,-0.000122016277533,-0.0278211481912
2002,0.0166006308019,0.0103791943827,0.00623558780599,0.00126441173962,0.000405093887274,-0.00374454930537,-0.00535518361445,0.00461356836686,-0.0110974950076,0.0390144112446
2003,0.217247381823,0.215009008922,0.207335551048,0.198351705533,0.204670624133,0.206568919686,0.222329374154,0.25074811779,0.282080485262,0.317212402987
2004,0.089299799943,0.0939000668552,0.095963023984,0.106052100719,0.111876592859,0.114286489771,0.0985140663967,0.0967423298892,0.103889054986,0.0518851348939
2005,0.11588770629,0.115907883581,0.117574007665,0.128007231239,0.132105698606,0.140269906571,0.143963748783,0.165251766431,0.175294373212,0.221659701285
2006,0.21196698142,0.212674218301,0.212929259892,0.2121797581,0.215429132117,0.214295329434,0.220765680196,0.228981961999,0.22396381786,0.197180922646
2007,-0.102413976756,-0.100681655952,-0.0977292847186,-0.0995655346007,-0.0921063780854,-0.0845730901838,-0.0707749192889,-0.0353347152684,-0.00979227528053,0.0747510983325
2008,-0.271029984309,-0.26920440915,-0.261741084423,-0.263078548849,-0.269810584832,-0.267281059883,-0.273115887701,-0.288750939648,-0.311220562814,-0.42244502067
2009,0.163851253603,0.160558694642,0.158026151766,0.153591459867,0.151437989516,0.143325271844,0.142682387816,0.150783183882,0.154745896929,0.154170569078
2010,0.315146117905,0.316600846514,0.314155897997,0.316094728241,0.316446436136,0.343446046682,0.374331387936,0.412070113548,0.428334371615,0.505446880808
2011,0.0110463617199,0.0132967161434,0.0178936656074,0.0197421981537,0.0164479176477,0.00862858097887,0.00444948475276,-0.0337154860552,-0.0520012032649,-0.110234864813
2012,0.192093623942,0.192936190602,0.188124976849,0.183843829433,0.181909158092,0.18529145945,0.177970261114,0.169223881368,0.158197206102,0.0956859954045
2013,0.247273205612,0.238738631137,0.237723089499,0.240626284518,0.250135845128,0.25553764424,0.260441758689,0.26406362302,0.288685387663,0.349209545055
2014,0.0427290844456,0.0445286886149,0.0463035529933,0.0489936703863,0.0534498240326,0.0536609077028,0.0535668244758,0.0562276545916,0.0681132189198,0.114627639656
2015,0.00287538678084,0.00704604747379,0.0114921696356,0.0149271377988,0.0165617724667,0.0102040327383,0.00329817814798,-0.00712183467021,-0.0406828805698,-0.0976917037675
2016,0.0801935348419,0.0791193754496,0.0761276794233,0.0696489452203,0.0584447861072,0.0485829449096,0.0364288010344,0.0292160929467,0.0271563227187,0.04263838167
